date,nvidia
2020-07-12,38
2020-07-19,39
2020-07-26,38
2020-08-02,40
2020-08-09,40
2020-08-16,53
2020-08-23,46
2020-08-30,100
2020-09-06,61
2020-09-13,95
2020-09-20,64
2020-09-27,52
2020-10-04,46
2020-10-11,43
2020-10-18,39
2020-10-25,49
2020-11-01,32
2020-11-08,44
2020-11-15,46
2020-11-22,47
2020-11-29,50
2020-12-06,51
