Catégorie : Toutes catégories

Mois,revenues: (États-Unis),employment: (États-Unis),unemployment: (États-Unis),leverage: (États-Unis),credit: (États-Unis)
2020-01,< 1,4,6,< 1,64
2020-02,< 1,4,5,< 1,68
2020-03,< 1,4,43,< 1,60
2020-04,< 1,4,100,< 1,63
2020-05,< 1,4,70,< 1,58
2020-06,< 1,4,58,< 1,59
2020-07,< 1,4,58,< 1,60
2020-08,< 1,4,52,< 1,55
2020-09,< 1,4,44,< 1,55
2020-10,< 1,3,34,< 1,57
2020-11,< 1,3,29,< 1,54
2020-12,< 1,3,33,< 1,62
