Catégorie : Toutes catégories

Mois,pfizer: (États-Unis),netflix: (États-Unis),nike: (États-Unis),intel: (États-Unis),at&t: (États-Unis)
2018-02,1,62,37,5,16
2018-03,1,63,38,4,16
2018-04,1,60,35,4,16
2018-05,< 1,60,32,4,16
2018-06,1,62,33,5,19
2018-07,1,63,39,5,18
2018-08,1,61,41,4,18
2018-09,1,60,66,4,19
2018-10,1,60,32,4,18
2018-11,1,59,41,5,18
2018-12,1,81,46,4,18
2019-01,1,87,34,4,16
2019-02,1,65,38,4,16
2019-03,1,62,39,4,16
2019-04,1,59,36,4,15
2019-05,1,62,34,4,15
2019-06,1,66,35,4,17
2019-07,1,66,42,4,17
2019-08,1,61,42,4,18
2019-09,1,59,33,4,18
2019-10,1,59,33,4,17
2019-11,1,63,45,4,17
2019-12,< 1,68,52,4,18
2020-01,1,76,37,4,15
2020-02,1,64,40,4,15
2020-03,1,88,34,4,16
2020-04,1,100,34,5,15
2020-05,1,84,43,5,16
2020-06,1,73,42,5,17
2020-07,2,74,44,5,16
2020-08,1,70,41,5,18
2020-09,1,80,36,4,16
2020-10,1,70,37,4,16
2020-11,9,64,42,4,17
2020-12,10,74,50,5,18
