Catégorie : Toutes catégories

Mois,nyse: (États-Unis),movie: (États-Unis),health: (États-Unis),consumption: (États-Unis),transaction: (États-Unis)
2018-10,< 1,72,33,1,1
2018-11,< 1,76,31,1,1
2018-12,< 1,85,28,1,1
2019-01,< 1,79,35,1,1
2019-02,< 1,72,33,1,1
2019-03,< 1,75,32,1,1
2019-04,< 1,74,33,1,1
2019-05,< 1,73,32,< 1,1
2019-06,< 1,76,31,< 1,1
2019-07,< 1,77,32,< 1,1
2019-08,< 1,70,33,< 1,1
2019-09,< 1,67,33,1,1
2019-10,< 1,70,34,1,1
2019-11,< 1,78,32,1,1
2019-12,< 1,79,29,< 1,1
2020-01,< 1,72,35,1,1
2020-02,< 1,73,35,1,1
2020-03,1,68,45,1,1
2020-04,1,68,38,1,1
2020-05,< 1,64,34,1,1
2020-06,< 1,62,34,< 1,1
2020-07,< 1,62,38,< 1,1
2020-08,< 1,60,35,< 1,1
2020-09,< 1,58,35,1,1
2020-10,< 1,65,39,1,1
2020-11,< 1,61,35,1,1
2020-12,< 1,62,38,1,1
