Catégorie : Toutes catégories

Mois,environment: (États-Unis),fond: (États-Unis),apple: (États-Unis),microsoft: (États-Unis),amazon: (États-Unis)
2009-08,1,< 1,16,15,18
2009-09,2,< 1,19,16,17
2009-10,2,< 1,20,16,16
2009-11,2,< 1,19,15,22
2009-12,2,< 1,18,15,29
2010-01,1,< 1,22,16,21
2010-02,2,< 1,14,15,18
2010-03,2,< 1,14,15,17
2010-04,2,< 1,17,15,17
2010-05,2,< 1,16,14,18
2010-06,2,< 1,21,14,19
2010-07,1,< 1,18,12,18
2010-08,1,< 1,17,13,19
2010-09,1,< 1,22,14,22
2010-10,1,< 1,21,13,20
2010-11,1,< 1,22,13,29
2010-12,1,< 1,20,12,36
2011-01,1,< 1,20,13,32
2011-02,1,< 1,19,13,28
2011-03,1,< 1,22,12,29
2011-04,2,< 1,19,12,28
2011-05,1,< 1,20,12,30
2011-06,1,< 1,21,11,31
2011-07,1,< 1,20,10,31
2011-08,1,< 1,21,11,34
2011-09,1,< 1,23,11,36
2011-10,1,< 1,36,11,34
2011-11,1,< 1,28,10,45
2011-12,1,< 1,26,10,54
2012-01,1,< 1,23,11,43
2012-02,1,< 1,20,10,39
2012-03,1,< 1,24,10,39
2012-04,1,< 1,20,9,36
2012-05,1,< 1,19,10,37
2012-06,1,< 1,22,10,40
2012-07,1,< 1,21,9,40
2012-08,1,< 1,22,10,43
2012-09,1,< 1,35,10,42
2012-10,1,< 1,29,11,40
2012-11,1,< 1,28,11,57
2012-12,1,< 1,26,10,65
2013-01,1,< 1,21,10,51
2013-02,1,< 1,20,10,45
2013-03,1,< 1,19,9,48
2013-04,1,< 1,18,9,44
2013-05,1,< 1,18,9,45
2013-06,1,< 1,20,9,48
2013-07,1,< 1,20,9,49
2013-08,1,< 1,20,10,51
2013-09,1,< 1,33,10,48
2013-10,2,< 1,26,10,45
2013-11,1,< 1,27,10,56
2013-12,1,< 1,23,10,75
2014-01,1,< 1,19,10,53
2014-02,1,< 1,19,10,49
2014-03,1,< 1,18,9,47
2014-04,1,< 1,18,9,46
2014-05,1,< 1,18,9,47
2014-06,1,< 1,19,8,50
2014-07,1,< 1,18,9,50
2014-08,1,< 1,20,9,53
2014-09,2,< 1,38,11,51
2014-10,2,< 1,28,9,51
2014-11,1,< 1,25,10,61
2014-12,1,< 1,23,9,75
2015-01,1,< 1,21,9,55
2015-02,1,< 1,19,9,52
2015-03,1,< 1,22,9,51
2015-04,2,< 1,22,9,50
2015-05,1,< 1,21,8,50
2015-06,1,< 1,22,9,54
2015-07,1,< 1,23,9,63
2015-08,1,< 1,23,10,60
2015-09,2,< 1,33,10,56
2015-10,2,< 1,28,10,58
2015-11,1,< 1,28,9,73
2015-12,1,< 1,27,9,81
2016-01,1,< 1,22,7,53
2016-02,1,< 1,21,8,50
2016-03,1,< 1,22,7,47
2016-04,2,< 1,22,7,48
2016-05,1,< 1,21,7,50
2016-06,1,< 1,21,7,49
2016-07,1,1,21,6,54
2016-08,1,1,22,7,53
2016-09,1,< 1,32,7,50
2016-10,1,< 1,29,7,51
2016-11,1,< 1,28,7,63
2016-12,1,< 1,28,7,78
2017-01,1,< 1,24,7,59
2017-02,2,< 1,22,7,54
2017-03,2,< 1,21,7,53
2017-04,1,< 1,22,6,54
2017-05,1,< 1,23,7,57
2017-06,1,< 1,22,7,61
2017-07,1,< 1,23,6,66
2017-08,1,< 1,24,7,64
2017-09,1,< 1,33,7,60
2017-10,1,< 1,29,7,63
2017-11,1,< 1,33,7,79
2017-12,1,< 1,32,7,89
2018-01,1,< 1,26,7,64
2018-02,1,< 1,24,7,60
2018-03,1,< 1,23,7,62
2018-04,2,< 1,23,7,58
2018-05,1,< 1,23,6,59
2018-06,1,< 1,24,7,62
2018-07,1,< 1,24,6,71
2018-08,1,< 1,25,7,66
2018-09,1,< 1,34,7,60
2018-10,2,< 1,30,7,63
2018-11,1,< 1,33,7,76
2018-12,1,< 1,32,6,82
2019-01,1,< 1,27,7,64
2019-02,2,< 1,23,7,62
2019-03,1,< 1,24,6,61
2019-04,2,< 1,22,6,63
2019-05,2,< 1,23,6,63
2019-06,1,< 1,24,6,68
2019-07,1,< 1,24,6,74
2019-08,1,< 1,29,7,72
2019-09,2,< 1,59,7,66
2019-10,2,< 1,30,7,68
2019-11,1,< 1,35,7,81
2019-12,1,< 1,34,6,95
2020-01,1,< 1,26,7,70
2020-02,2,< 1,24,7,69
2020-03,1,< 1,24,9,81
2020-04,2,< 1,27,10,88
2020-05,1,< 1,28,8,89
2020-06,1,< 1,28,8,84
2020-07,1,< 1,28,8,83
2020-08,1,< 1,31,11,80
2020-09,2,< 1,34,11,75
2020-10,2,< 1,35,8,81
2020-11,1,< 1,35,8,84
2020-12,1,< 1,35,9,100
